"filename", "language", "Python", "C++", "YAML", "toml", "Ini", "pip requirements", "Shell Script", "Markdown", "Properties", "reStructuredText", "XML", "CSS", "JSON", "comment", "blank", "total"
"e:\LocalSoftware\share\pybind11-2.11.1\pybind11\_version.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"e:\LocalSoftware\share\pybind11-2.11.1\pybind11\commands.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 38
"e:\LocalSoftware\share\pybind11-2.11.1\pybind11\setup_helpers.py", "Python", 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 101, 499
"e:\LocalSoftware\share\pybind11-2.11.1\pyproject.toml", "toml", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 99
"e:\LocalSoftware\share\pybind11-2.11.1\setup.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"e:\LocalSoftware\share\pybind11-2.11.1\setup.py", "Python", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 29, 151
"e:\LocalSoftware\share\pybind11-2.11.1\tests\conftest.py", "Python", 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 58, 222
"e:\LocalSoftware\share\pybind11-2.11.1\tests\constructor_stats.h", "C++", 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 20, 323
"e:\LocalSoftware\share\pybind11-2.11.1\tests\cross_module_gil_utils.cpp", "C++", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 20, 109
"e:\LocalSoftware\share\pybind11-2.11.1\tests\cross_module_interleaved_error_already_set.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 52
"e:\LocalSoftware\share\pybind11-2.11.1\tests\eigen_tensor_avoid_stl_array.cpp", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 15
"e:\LocalSoftware\share\pybind11-2.11.1\tests\env.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 28
"e:\LocalSoftware\share\pybind11-2.11.1\tests\extra_python_package\pytest.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\LocalSoftware\share\pybind11-2.11.1\tests\extra_python_package\test_files.py", "Python", 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 57, 292
"e:\LocalSoftware\share\pybind11-2.11.1\tests\extra_setuptools\pytest.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\LocalSoftware\share\pybind11-2.11.1\tests\extra_setuptools\test_setuphelper.py", "Python", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28, 152
"e:\LocalSoftware\share\pybind11-2.11.1\tests\local_bindings.h", "C++", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 93
"e:\LocalSoftware\share\pybind11-2.11.1\tests\object.h", "C++", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 40, 206
"e:\LocalSoftware\share\pybind11-2.11.1\tests\pybind11_cross_module_tests.cpp", "C++", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 24, 150
"e:\LocalSoftware\share\pybind11-2.11.1\tests\pybind11_tests.cpp", "C++", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 17, 124
"e:\LocalSoftware\share\pybind11-2.11.1\tests\pybind11_tests.h", "C++", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 86
"e:\LocalSoftware\share\pybind11-2.11.1\tests\pytest.ini", "Ini", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"e:\LocalSoftware\share\pybind11-2.11.1\tests\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_async.cpp", "C++", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 26
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_async.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 25
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_buffers.cpp", "C++", 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 33, 260
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_buffers.py", "Python", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40, 222
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_builtin_casters.cpp", "C++", 0, 301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 43, 393
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_builtin_casters.py", "Python", 405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 106, 529
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_call_policies.cpp", "C++", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18, 116
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_call_policies.py", "Python", 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29, 248
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_callbacks.cpp", "C++", 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 32, 281
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_callbacks.py", "Python", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 50, 219
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_chrono.cpp", "C++", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 16, 82
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_chrono.py", "Python", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 59, 206
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_class.cpp", "C++", 0, 499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 89, 658
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_class.py", "Python", 351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 112, 486
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_cmake_build\embed.cpp", "C++", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_cmake_build\main.cpp", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_cmake_build\test.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
