"filename", "language", "Python", "Shell Script", "pip requirements", "JSON", "Properties", "Lua", "Markdown", "Makefile", "reStructuredText", "CSS", "C++", "C", "XML", "YAML", "Ini", "HTML", "comment", "blank", "total"
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\lua\lua_config.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -276, 0, 0, 0, 0, -9, -83, -368
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\lua\lua_config.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -78, 0, 0, 0, 0, 0, -4, -28, -110
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\lua\lua_dapi.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -107, 0, 0, 0, 0, -4, -40, -151
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\lua\lua_dapi.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, -4, -11, -34
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\lua\lua_dpdk.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -324, 0, 0, 0, 0, -9, -110, -443
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\lua\lua_dpdk.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -113, 0, 0, 0, 0, 0, -60, -34, -207
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\lua\lua_pktmbuf.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -124, 0, 0, 0, 0, -4, -46, -174
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\lua\lua_pktmbuf.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, -4, -10, -30
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\lua\lua_socket.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -234, 0, 0, 0, 0, -30, -59, -323
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\lua\lua_socket.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, -4, -10, -37
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\lua\lua_stdio.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -106, 0, 0, 0, 0, -9, -26, -141
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\lua\lua_stdio.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, -4, -10, -44
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\lua\lua_utils.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, 0, 0, -7, -9, -49
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\lua\lua_utils.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -53, 0, 0, 0, 0, 0, -9, -16, -78
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\lua\lua_vec.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, 0, 0, 0, 0, -4, -36, -140
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\lua\lua_vec.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, -4, -10, -31
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\plugin\plugin.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -278, 0, 0, 0, 0, -23, -83, -384
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\plugin\plugin.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -91, 0, 0, 0, 0, 0, -124, -36, -251
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\utils\_atoip.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -210, 0, 0, 0, 0, -45, -26, -281
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\utils\_atoip.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, 0, 0, 0, -22, -12, -61
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\utils\heap.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -166, 0, 0, 0, 0, -56, -57, -279
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\utils\heap.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32, 0, 0, 0, 0, 0, -10, -14, -56
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\utils\inet_pton.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -137, 0, 0, 0, 0, -66, -17, -220
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\utils\parson_json.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2308, 0, 0, 0, 0, -64, -430, -2802
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\utils\parson_json.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -179, 0, 0, 0, 0, 0, -77, -42, -298
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\utils\portlist.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -103, 0, 0, 0, 0, -5, -28, -136
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\utils\portlist.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, -30, -12, -61
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\vec\vec.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -90, 0, 0, 0, 0, -6, -24, -120
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\lib\vec\vec.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -373, 0, 0, 0, 0, 0, -38, -95, -506
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\scripts\latency-samples.lua", "Lua", 0, 0, 0, 0, 0, -69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -20, -95
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\scripts\latency.lua", "Lua", 0, 0, 0, 0, 0, -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -12, -37
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\scripts\rfc2544.lua", "Lua", 0, 0, 0, 0, 0, -376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -55, -91, -522
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\scripts\rfc2544_tput_test.lua", "Lua", 0, 0, 0, 0, 0, -78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -24, -112
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\scripts\traffic-profile.lua", "Lua", 0, 0, 0, 0, 0, -44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -21, -77
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\style\call_GNU_Indent.sh", "Shell Script", 0, -32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -7, -44
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\style\call_Uncrustify.cfg", "Properties", 0, 0, 0, 0, -166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -167
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\style\call_Uncrustify.sh", "Shell Script", 0, -32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -7, -44
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\test\dump.lua", "Lua", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -14
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\test\generate-sequences.sh", "Shell Script", 0, -26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, -12, -57
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\test\gtpu-range.lua", "Lua", 0, 0, 0, 0, 0, -72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -29, -111
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\test\hello-world.lua", "Lua", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -10
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\test\info.lua", "Lua", 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -7, -27
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\test\main.lua", "Lua", 0, 0, 0, 0, 0, -120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -27, -156
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\test\port_info.lua", "Lua", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -3, -10
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\test\range.lua", "Lua", 0, 0, 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, -11, -51
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\test\screen_off.lua", "Lua", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -5
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\test\set_gtpu_seq.lua", "Lua", 0, 0, 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -2, -40
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\test\set_seq.lua", "Lua", 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -1, -23
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\test\test.lua", "Lua", 0, 0, 0, 0, 0, -52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -20, -75
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\test\test1.lua", "Lua", 0, 0, 0, 0, 0, -63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -7, -75
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\test\test2.lua", "Lua", 0, 0, 0, 0, 0, -31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -37
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\test\test3.lua", "Lua", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -3, -15
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\test\test_range.lua", "Lua", 0, 0, 0, 0, 0, -49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -17, -69
"e:\LocalSoftware\share\DPDK\pktgen-dpdk\test\test_save.lua", "Lua", 0, 0, 0, 0, 0, -250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -53, -34, -337
